HI116,hasVideoFilename,
KI116,hasVideoFilename,
HI117,hasPhotoStorageMedium,
KI117,hasPhotoStorageMedium,
HI201,hasReport,
KI201,hasReport,
HZ201,hasReport,
KZ201,hasReport,
HI202,hasReportDate,
KI202,hasReportDate,
HZ202,hasReportDate,
KZ202,hasReportDate,
HI203,hasReporter,
KI203,hasReporter,
HZ203,hasReporter,
KZ203,hasReporter,
HI204,hasAssessmentDate,
KI204,hasAssessmentDate,
HI205,hasAssessor,
KI205,hasAssessor,
HI206,hasMaximumConditionClassTightness,
KI206,hasMaximumConditionClassTightness,
HI207,hasMaximumConditionClassStructuralStability,
KI207,hasMaximumConditionClassStructuralStability,
HI208,hasMaximumConditionClassOperationalSafety,
KI208,hasMaximumConditionClassOperationalSafety,
HI209,hasConditionPointsTightness,
KI209,hasConditionPointsTightness,
HI210,hasConditionPointsStructuralStability,
KI210,hasConditionPointsStructuralStability,
HI211,hasConditionPointsOperationalSafety,
KI211,hasConditionPointsOperationalSafety,
HI212,hasEvaluationPointsTightness,
KI212,hasEvaluationPointsTightness,
HI213,hasEvaluationPointsStructuralStability,
KI213,hasEvaluationPointsStructuralStability,
HI214,hasEvaluationPointsOperationalSafety,
KI214,hasEvaluationPointsOperationalSafety,
HI215,hasRehabilitationRequirementNumber,
KI215,hasRehabilitationRequirementNumber,
HI216,hasAssessmentClass,
KI216,hasAssessmentClass,
HI217,hasPriority,
KI217,hasPriority,
HI101,hasPipeSectionInspectionDirection,
HI102,hasPipeSectionInspectionReferencePointStart,
HI998,Annotation: rdfs:comment,
HI999,Annotation: rdfs:comment,
HM001,hasMeasurementStation,
HM002,hasMeasurementValueType,
HM101,hasMeasurementValue,
HM102,hasMeasurementUnit,
HM999,Annotation: rdfs:comment,
KI101,hasNodeInspectionVerticalReferencePoint,
KI102,hasNodeInspectionCircumferentialReferencePoint,
KI118,hasNodeInspectionDigitalPhotoName,
KI119,hasNodeInspectionOperationalSafety,
KI120,hasNodeInspectionCorrectCone,
KI121,hasNodeInspectionAmbientAir,
KI122,hasNodeInspectionAmbientPhoto,
KI998,Annotation: rdfs:comment,
KI999,Annotation: rdfs:comment,
HZ002,hasConditionCode,
KZ002,hasConditionCode,
HZ014,hasCharacterization1,
KZ014,hasCharacterization1,
HZ015,hasCharacterization2,
KZ015,hasCharacterization2,
HZ003,hasQuantification1,
KZ003,hasQuantification1,
HZ004,hasQuantification2,
KZ004,hasQuantification2,
HZ005,hasLinearDamage,
KZ005,hasLinearDamage,
HZ006,hasPositionFrom,
KZ006,hasPositionFrom,
HZ007,hasPositionTo,
KZ007,hasPositionTo,
HZ008,hasVideoCounterReading,
KZ008,hasVideoCounterReading,
HZ009,hasImageName,
KZ009,hasImageName,
HZ010,hasLongText,
KZ010,hasLongText,
HZ011,hasConnection,
KZ011,hasConnection,
HZ017,hasStandardizedComment,
KZ017,hasStandardizedComment,
HZ204,hasClassificationDate,
KZ204,hasClassificationDate,
HZ205,hasClassifier,
KZ205,hasClassifier,
HZ206,hasConditionClassTightness,
KZ206,hasConditionClassTightness,
HZ207,hasConditionClassStructuralStability,
KZ207,hasConditionClassStructuralStability,
HZ208,hasConditionClassOperationalSafety,
KZ208,hasConditionClassOperationalSafety,
HZ997,hasCameraSpecificDataPlaceholder,
KZ997,hasCameraSpecificDataPlaceholder,
HZ001,hasPipeSectionConditionStation,
HZ012,hasPipeSectionConditionLining,
HZ016,hasPipeSectionConditionLocalizedRepair,
HZ998,Annotation: rdfs:comment,
HZ999,Annotation: rdfs:comment,
KZ001,hasNodeConditionDepth,
KZ013,hasNodeConditionManholeArea,
KZ016,hasNodeConditionLocalizedRepair,
KZ998,Annotation: rdfs:comment,
KZ999,Annotation: rdfs:comment,
